№   ;Tuman;Mahalla (МFY);Manzil;Yer maydoni chegaralarining burilish nuqtalari koordinatalari;;"Maydoni
(m2)";
;;;;Uzunlik;Kenglik;;
47;Yunusobod tumani;Минор; Amir Temur shohko‘chasi, 99-uy va Kichik halqa avtomobil yo‘li ko‘chasi, 20-uylar oralig‘ida joylashgan NBU avtoturargoh;41.33521346614896;69.28230666605927;123 m2;бўш
;;;;41.33521903854996;69.28234919937961;;
;;;;41.3348171953706; 69.28226761538676;;
;;;;41.33482125893678;69.28223789995394;;
48;Olmazor tumani;Тараккиёт; Qorasaroy ko‘chasi, 269-uy va 2576-uylar oralig‘idagi“Bosforus” restorani yaqinidagi avtoturargoh;41.35031775769792;69.2414469529821;70 m2;бўш
;;;;41.35030108723432;69.24160239908102;;
;;;;41.35025246599949;69.24160054827969;;
;;;;41.35027330401536;69.24143584957145;;
49;Olmazor tumani;Янги Себзар; Abdulla Qodiriy ko‘chasi, 1-uy Afiyet Doner Kebap ;41.33018207404198;69.24591606304706;70 m2;бўш
;;;;41.330130558179235;69.24606632053796;;
;;;;41.330088864863086;69.24603655825838;;
;;;;41.330133382984364;69.24589206962031;;
50;Mirzo Ulug‘bek tumani;; Sayram, 4-tor ko‘chasi, 926-uy va Sayram, 5-tor ko‘chasi, 92-uylar oralig‘ida joylashgan Tin Market supermarket hududi;;;0 m2;
;;;;;;;
;;;;;;;
;;;;;;;
51;Mirzo Ulug‘bek tumani;Лашкарбеги;Niyozbek yo‘li, 6-tor ko‘chasi, 13-uy qarshisidagi avtoturargoh;41.3189521 7493228;69.29250893454375 ;105 m2;бўш
;;;;41.3189213486 747 ;69.2925594954 7814;;
;;;;41.3187940153 50086 ;69.2923743985 337;;
;;;;41.3188445262 2929;69.2923274302 099 ;;
52;Mirzo Ulug‘bek tumani;Дархан;Oqqo‘rg‘on ko‘chasidagi Yoshlik sport kompleksi oldi tarafidagi avtoturargoh;41.3252766 6165023;69.30458617956792 ;105 m2;бўш
;;;;41.3252599805 4878;69.3046604580 857 ;;
;;;;41.3250761595 4501 ;69.3046257605 0046;;
;;;;41.3250970319 615;69.3045498110 7086 ;;
53;Yunusobod tumani;;Korzinka sayram yunusobod;;;;
;;;;;;;
;;;;;;;
;;;;;;;
54;Yashnaobod tumani;Хосиятли; Beshariq ko‘chasi, 7-uyning yon tomonidagi avtoturargo;41.28336732421402;69.3409289893683;105 m2;бўш
;;;;41.2832004596082;69.34105242772745;;
;;;;41.28317979054878;69.34099875887564;;
;;;;41.283345142840844;69.34087599137713;;
55;Olmazor tumani;Чигатай Дарваза;Chig‘atoy darvoza ko‘chasi, 1a-uyning qarshisidagi avtoturargoh;41.33675171661148;69.22219207906682;70 m2;бўш
;;;;41.33672345112543;69.22224268911229;;
;;;;41.336627184362555;69.22212555370028;;
;;;;41.33666212234736;69.22207491385475;;
56;Mirzo Ulug‘bek tumani;Аль-Фараби; Ahmad Yugnakiy dahasi, 43a-uyning yon tomonidagi avtoturargoh;41.3459630 6017961;69.39081648568725 ;140 m2;бўш
;;;;41.3460048036 1187;69.3907775355 4467 ;;
;;;;41.3461324729 3212;69.3910707514 4612 ;;
;;;;41.3460936924 78384;69.3911006443 8316 ;;
57;Olmazor tumani;Мискин; Yangi Olmazor ko‘chasi, 20-uydagi Yarim o‘tkazgichlar instituti hududi;41.35056198233959;69.25218320174886;53 m2;бўш
;;;;41.35055918355349;69.25225870258267;;
;;;;41.350467806738685;69.2522372131621;;
;;;;41.350469180836676;69.25217438469548;;
58;Olmazor tumani;Тараккиёт;Kichik halqa yo‘li ko‘chasi, 5a-uy oldidagi hudud;41.34806322957037;69.24959512632674;35 m2;бўш
;;;;41.348063239603384;69.24967650323865;;
;;;;41.34801590084181;69.24968213976803;;
;;;;41.34801594385354;69.2495988439863;;
59;Olmazor tumani;Олимпия;Olimpiya mahallasi, Ahmadjon Qori masjidi oldidagi hudud;41.360861757237025;69.19495776688353;70 m2;бўш
;;;;41.36084641739986; 69.19501143851197;;
;;;;41.36073266016619;69.19498599292815;;
;;;;41.360739646014956;69.19492125955585;;
60;Olmazor tumani;Замондош;Kichik halqa yo‘li ko‘chasi, 365-uy oldidagi hududni ;41.350088785675375;69.22533532526334;70 m2;10:08:43:03:03:0268 туман хокимлиги номида
;;;;41.35007488943078;69.22549814820128;;
;;;;41.35002489909102;69.22548888423681;;
;;;;41.35004016613824;69.22533347484683;;
61;Olmazor tumani;Зиё;Qoraqamish ko‘chasi, 26-uy oldidagi hudud;41.35836631351065;69.21270541141892;70 m2;қисман 10:08:44:03:02:0067 хокимлик номида
;;;;41.35835637332583;69.21287508549175;;
;;;;41.358311735426156;69.21287508527058;;
;;;;41.35832666346067;69.21270098232422;;
62;Olmazor tumani;Истикбол;Qoraqamish ko‘chasi, 1a-uy oldidagi hududni;41.36100304449588;69.21491579189866;70 m2;бўш
;;;;41.36099970574984;69.21497354078461;;
;;;;41.360871931120265;69.21497944162189;;
;;;;41.360876343579825;69.21492467658061;;
63;Olmazor tumani;Гуруч Арык;Sag‘bon ko‘chasi (Islomobod masjidi oldi)dagi hudud;41.347719854354885;69.22845162402552;70 m2;бўш масжид автотураргохи
;;;;41.347721268941385;69.22850680684797;;
;;;;41.34759255721253;69.22851612408536;;
;;;;41.34759238346214;69.22846468460877;;
64;Olmazor tumani;Юкары Себзар; At-Termiziy masjidi ro‘parasidagi hudud;41.337543395717496;69.25099988136589;70 m2;бўш
;;;;41.33751839209859;69.25104799426529;;
;;;;41.33743071489667;69.25094801743147 ;;
;;;;41.337461371771234;69.25089617771444;;
65;Olmazor tumani;Чилтуган; Kichik halqa yo‘li ko‘chasi (Koredo mebel oldi)dagi hudud;41.348238994440976; 69.2542167108642;70 m2;10:08:46:02:02:0132 туташ худуд
;;;;41.348226475752774; 69.25438526788949;;
;;;;41.3481889988789; 69.25438498567723;;
;;;;41.34818896162623;69.25421485875128;;
66;Olmazor tumani;Чилтуган; Ahmad Donish ko‘chasi (Taxtapul Iskandarxo‘ja masjidi oldi)dagi hudud;41.34597270649713;69.2587305659383;70 m2;бўш масжид автотураргохи
;;;;41.34591656808957;69.2588721213457;;
;;;;41.34587320483732;69.25883521143481;;
;;;;41.345936969902986;69.25869750985353;;
67;Shayxontoxur tumani;Кохата;Nurafshon ko‘chasi (Kohota masjidi oldi)dagi hudud;41.33646508733587;69.25984327840455;70 m2;бўш
;;;;41.33639431644479;69.25998558476219;;
;;;;41.33635962491979;69.25995601454065;;
;;;;41.336431783444034;69.25980631568007;;
68;Mirobod tumani;Афрасиаб; Afrosiyob ko‘chasi (Moti panasia kitchen kafe oldi)dagi hudud;41.3001062833851;69.27232110062322;105 m2;10:11:40:01:02:0158 хокимлик номида
;;;;41.30010779466814;69.27231975951885;;
;;;;41.29997631291058;69.27245856382011;;
;;;;41.29995112480417;69.27241363682404;;
69;Mirzo Ulug‘bek tumani;Бешкапа; Buyuk Ipak yo‘li ko‘chasi, 414-uy oldidagi hudud;41.35180554550432;69.38476871798363;105 m2;бўш
;;;;41.3517531958889;69.3847982222814;;
;;;;41.35168977225996;69.38458766888363;;
;;;;41.35173708830644;69.38455548237697;;
70;Mirzo Ulug‘bek tumani;Минглола;Avayxon ko‘chasi (Oltin Tepa masjidi oldi)dagi hudud;41.3235973862253;69.35718949826227 ;140 m2;бўш
;;;;41.3235570698 2678;69.35714711796774 ;;
;;;;41.3237321222 6874 ;69.3568879655 533;;
;;;;41.3237695764 7469;69.3569323379 231 ;;
71;Mirzo Ulug‘bek tumani;Авайхан;Avayxon ko‘chasi (Avtosalon oldi)dagi hududni ;41.322093850769846;69.36007297718915 ;140 m2;10:09:07:03:04:0128 AVAYXON OBOD GROUP ООО
;;;;41.322063311252435 ;69.3600399445 9385;;
;;;;41.3222285838 2537;69.3597628052 6111 ;;
;;;;41.3222563730 56106;69.3598016575 4617 ;;
72;Sergeli tumani;Зийнат;Shokirariq ko‘chasi (Malika restorani oldi)dagi hudud;41.21711393440411;69.21806909179834;105 m2;бўш туташ худуд
;;;;41.217202204616065;69.21829037404821;;
;;;;41.217160843731584;69.21832121945273;;
;;;;41.217073582267545;69.21809390223241;;
;;;;41.21697774584177;69.21778880095333;35 m2;
;;;;41.21701557602594;69.21776466107154;;
;;;;41.2170443269513;69.21784445679195;;
;;;;41.21700447917419; 69.21786792612147;;
73;Uchtepa tumani;Чапан-ата;Izza ko‘chasi (Izza Gumbaz oldi)dagi hududni ;41.278114604373975;69.14797588920104;70 m2;бўш
;;;;41.278154979565336;69.14812675818906;;
;;;;41.27810366225186;69.14815459726184;;
;;;;41.2780729821197;69.1480035802987;;
74;Uchtepa tumani;Фазылтепа; Izza ko‘chasi (Izza korzinka oldi)dagi hudud;41.28128362094839;69.15534702805333;70 m2;10:01:47:01:02:0040 XALILOV SHERZODXON AKMALXON
;;;;41.281285020766454; 69.15540431584135;;
;;;;41.28116446559155; 69.15540806814015;;
;;;;41.281158922089375;69.15533983417241;;
75;Uchtepa tumani;Хамдуст;Zargarlik ko‘chasi (Magic Galaxy oldi)dagi hudud;41.271217324136586;69.17571596417625;70 m2;10:01:46:03:03:0086 МЧЖга тегишли
;;;;41.27119077754456;69.1757713872888;;
;;;;41.27110867552736;69.17564361841299;;
;;;;41.27114359721946;69.17559381039312;;
76;Chilonzor tumani;Katta Chilonzor MFY;Al-Xorazmiy ko‘chasi (sobiq Parlament restorani oldi)dagi hudud;41.272322856177446; 69.19304627140222;70 m2;10:03:02:02:02:0046 Bo’sh yer maydoni
;;;;41.27230059149383;69.19309443339652;;
;;;;41.27218896426681;69.19303311027187;;
;;;;41.272202827988224;69.1929792452865;;
